Chr Gene nSNPs nSims Start Stop Test Pvalue Top.0.1.pvalue Best.SNP SNP.pvalue
1 A3GALT2 84 1000 33544953 33559286 47.973205731668 0.644 0.353 rs10914692 0.0410900000000002
1 AADACL3 129 1000 12698704 12711313 141.427937528413 0.333 0.192 rs2489260 0.02196
1 AADACL4 110 1e+05 12627152 12649684 181.717103781779 0.10433 0.07515 rs11121950 0.00601499999999999
1 ABCA4 331 1000 94230981 94359293 382.7044453182 0.32 0.135 rs11165063 0.00143600000000003
1 ABCB10 84 1000 227718951 227761065 43.4312484758938 0.66 0.342 rs348335 0.1129
1 ABCD3 98 1000 94656520 94756807 71.5138925813935 0.585 0.216 rs2762509 0.0179399999999999
1 ABHD7 86 1000 92268145 92301681 94.0495594710453 0.332 0.175 rs4658122 0.03101
1 ABL2 176 1e+05 177335084 177465390 210.830786051019 0.28241 0.09079 rs2025580 0.00175099999999999
1 ACADM 136 1000 75962630 76001943 101.197899306335 0.593 0.567 rs11161626 0.133600000000001
1 ACBD3 74 1e+05 224399002 224441046 153.825984200669 0.06958 0.07269 rs9728310 0.0108
1 ACBD6 275 1000 178523987 178738102 364.667937155758 0.251 0.202 rs6671901 0.0353100000000001
1 ACOT11 190 1000 54786488 54873005 181.08583492513 0.509 0.498 rs501260 0.0417699999999998
1 ACOT7 120 1000 6246918 6376413 92.1605104389266 0.547 0.341 rs34064241 0.0518199999999999
1 ACP6 107 1000 145585791 145609258 70.6449438523379 0.667 0.209 rs11804045 0.000980700000000004
1 ACTA1 50 1000 227633615 227636466 25.5443218074 0.769 0.463 rs500639 0.0662999999999997
1 ACTL8 163 1000 17954430 18026145 121.096202680098 0.68 0.326 rs7520825 0.00740700000000003
1 ACTN2 236 1000 234916392 234994181 240.374397385631 0.405 0.153 rs4598478 0.004632
1 ACTRT2 89 1000 2927905 2929327 93.3338921926376 0.3 0.159 rs10909862 0.05881
1 ADAM15 63 1000 153290385 153301876 77.0192374514834 0.226 0.14 rs11264306 0.0166800000000001
1 ADAM30 75 1e+05 120237678 120240636 245.161512073225 0.01365 0.00432 rs2793837 0.000637000000000007
1 ADAMTS4 72 1e+05 159426161 159435469 126.393282571689 0.08104 0.03538 rs4233366 0.002317
1 ADAMTSL4 47 1000 148788521 148800036 41.0823318857143 0.434 0.224 rs10888585 0.01209
1 ADAR 87 1000 152821157 152867061 105.11410093398 0.306 0.321 rs3766924 0.0365999999999999
1 ADC 61 1000 33319300 33358582 74.6038859370042 0.232 0.146 rs676069 0.0689000000000008
1 ADIPOR1 99 1000 201176583 201194323 124.102925709623 0.275 0.122 rs4950887 0.0123500000000001
1 ADORA1 192 1000 201363458 201403156 109.89231308597 0.908 0.498 rs3766550 0.0348100000000001
1 ADORA3 185 1000 111827492 111908120 163.075411250265 0.587 0.142 rs1264901 0.00849599999999998
1 ADPRHL2 35 1000 36327072 36332120 29.4855547227832 0.392 0.247 rs11263857 0.1056
1 ADSS 134 1e+05 242638418 242682036 278.729766779338 0.04796 0.00231 rs12032765 6.98500000000001e-05
1 AFAR3 83 1000 19465062 19473022 78.4483057031557 0.461 0.201 rs12146076 0.01049
1 AGBL4 962 1e+05 48771113 50262213 1947.66103955121 0.05195 0.04442 rs12407980 0.002189
1 AGL 184 1000 100088227 100162167 208.789344424556 0.319 0.121 rs903125 0.01134
1 AGMAT 73 1000 15771738 15784192 78.1138743269437 0.321 0.294 rs3940061 0.107199999999999
1 AGRN 32 1000 945365 981355 40.7559241856833 0.215 0.134 rs4075116 0.02366
1 AGT 236 1e+05 228904891 228916959 385.206951744721 0.10523 0.03414 rs2478516 0.00221000000000001
1 AGTRAP 102 1000 11718728 11733415 137.337098271404 0.219 0.122 rs6419479 0.00616599999999997
1 AHCTF1 126 1000 245069024 245148302 61.4011908345072 0.832 0.523 rs11581030 0.0612799999999995
1 AHCYL1 69 1000 110328830 110367887 55.0929722928842 0.561 0.575 rs11589677 0.129499999999997
1 AHDC1 31 1000 27733342 27802730 35.9282591495229 0.171 0.175 rs4373782 0.0957299999999995
1 AIDA 58 1e+05 220907977 220952487 123.523342722432 0.0774 0.03713 rs17531580 0.00366100000000003
1 AIM1L 147 1e+05 26520936 26543030 264.891865272244 0.10496 0.01702 rs4659431 0.001701
1 AIM2 80 1e+05 157298898 157313271 65.4372326996603 0.45266 0.10339 rs2518569 0.01667
1 AJAP1 373 1000 4614964 4743711 366.564875645236 0.531 0.27 rs763219 0.00656599999999998
1 AK2 53 1000 33246172 33275079 70.14792868596 0.232 0.191 rs2268692 0.0985999999999997
1 AK3L1 142 1000 65385819 65465763 142.264260277393 0.427 0.341 rs4469745 0.0263700000000001
1 AK5 442 1000 77520329 77798242 368.614308878318 0.7 0.21 rs3104467 0.00708900000000001
1 AKIRIN1 65 1000 39229503 39243566 13.633797886381 0.992 0.944 rs12756255 0.2941
1 AKR1A1 59 1000 45789084 45808308 42.528987366661 0.527 0.37 rs945179 0.0993599999999997
1 AKR7A2 106 1e+05 19503048 19511227 226.277458152353 0.03592 0.0289 rs12128747 0.002186
1 AKR7A3 84 1000 19481643 19487867 101.577278128362 0.284 0.155 rs12146076 0.01049
1 AKT3 224 1e+05 241718157 242073176 553.67094288405 0.04629 0.04038 rs4658403 0.00633199999999997
1 ALDH4A1 96 1e+05 19070512 19101659 130.339038789416 0.20142 0.06579 rs9117 0.000606100000000001
1 ALDH9A1 191 1e+05 163898072 163934524 326.661085337893 0.08421 0.0212 rs6426918 0.001668
1 ALG14 156 1000 95220884 95311071 140.835807170356 0.482 0.257 rs7527765 0.01418
1 ALG6 108 1000 63605885 63675466 63.3992769327462 0.74 0.582 rs17319555 0.0744799999999995
1 ALPL 178 1e+05 21708444 21777492 228.556223129372 0.23373 0.04022 rs16825415 0.005587
1 ALX3 75 1000 110404519 110414845 75.2946172800522 0.401 0.381 rs611774 0.0380500000000001
1 AMIGO1 79 1000 109850968 109853859 30.4919819250587 0.85 0.572 rs10494041 0.178400000000001
1 AMPD1 71 1000 115017244 115039699 37.2044878212247 0.81 0.581 rs2070986 0.102
1 AMPD2 75 1000 109963981 109976200 23.4026948739626 0.965 0.895 rs625456 0.228299999999999
1 AMY1A-1 4 1e+05 103999663 104008696 12.1565918559301 0.00853 0.01412 rs35297534 0.009331
1 AMY1A-3 16 1000 104093801 104102834 28.5649879043389 0.151 0.203 rs11185098 0.0952800000000001
1 AMY1B-1 4 1e+05 103999847 104008695 12.1565918559301 0.00841 0.0139 rs35297534 0.009331
1 AMY1B-3 16 1000 104093985 104102833 28.5649879043389 0.125 0.182 rs11185098 0.0952800000000001
1 AMY1C-1 4 1e+05 103999825 104008695 12.1565918559301 0.00849 0.01408 rs35297534 0.009331
1 AMY1C-3 16 1000 104093963 104102833 28.5649879043389 0.139 0.187 rs11185098 0.0952800000000001
1 AMY2A 14 1e+05 103961521 103969923 35.5874369354244 0.02783 0.03595 rs35297534 0.009331
1 AMY2B 21 1e+05 103898844 103923672 53.0260195817628 0.03071 0.03725 rs35297534 0.009331
1 ANGEL2 57 1000 211232146 211255791 25.3170375192807 0.854 0.538 rs17020044 0.0724599999999998
1 ANGPTL1 64 1000 177085292 177106838 53.2580223316361 0.482 0.355 rs16853405 0.1059
1 ANGPTL3 47 1e+05 62835774 62843768 152.12964260789 0.05494 0.03439 rs10889347 0.0296200000000001
1 ANGPTL7 71 1000 11171984 11178625 77.5312512766391 0.175 0.129 rs12117032 0.01209
1 ANKRD13C 86 1e+05 70497272 70593005 169.081037529383 0.09267 0.06159 rs9804151 0.01512
1 ANKRD34A 21 1000 144181864 144187004 5.66504418008777 0.834 0.74 rs6661602 0.3615
1 ANKRD35 46 1000 144260565 144279883 24.7499425656448 0.732 0.462 rs10910824 0.1242
1 ANKRD45 54 1e+05 171844097 171905624 75.012369143615 0.21376 0.06927 rs4916222 0.01486
1 ANP32E 53 1000 148457478 148475084 42.6896647896606 0.492 0.194 rs1105210 0.0222299999999998
1 ANXA9 63 1000 149221122 149234738 84.9375110078379 0.227 0.137 rs3738478 0.0186100000000001
1 AOF2 69 1000 23218532 23282771 17.1759464587429 0.871 0.668 rs4655145 0.3565
1 AP4B1 70 1e+05 114239199 114249264 107.926571526887 0.16587 0.06165 rs2476602 0.003545
1 APCS 124 1000 157824239 157825285 115.088824037562 0.486 0.186 rs12122473 0.0269900000000002
1 APH1A 63 1000 148504422 148508156 21.8445948557111 0.904 0.65 rs10494266 0.0738499999999993
1 APITD1 74 1000 10412745 10434797 72.9243441155728 0.373 0.143 rs12409754 0.0467499999999998
1 APOA1BP 83 1000 154828181 154830715 49.996953528435 0.603 0.216 rs4661188 0.0873199999999997
1 APOA2 91 1e+05 159458706 159460042 123.450249132152 0.19271 0.05125 rs4233366 0.002317
1 APOBEC4 156 1e+05 181882033 181889071 503.499503934305 0.03843 0.04916 rs10911390 0.0118899999999999
1 AQP10 71 1e+05 152560215 152564425 145.632058671941 0.07409 0.06335 rs12729561 0.00883299999999998
1 ARF1 47 1000 226336983 226353536 43.2319667486975 0.448 0.287 rs3121309 0.0658000000000003
1 ARHGAP29 133 1000 94407050 94475895 80.1346057287 0.782 0.596 rs10128049 0.1008
1 ARHGAP30 82 1000 159283355 159306384 93.7801093597265 0.318 0.19 rs1128750 0.002632
1 ARHGEF10L 188 1e+05 17738916 17896957 252.906625747862 0.1885 0.03956 rs4920615 0.003505
1 ARHGEF11 241 1000 155171255 155281786 163.70108429696 0.648 0.674 rs822431 0.145599999999999
1 ARHGEF16 76 1000 3361006 3387537 53.7934666103637 0.617 0.459 rs2821038 0.04344
